Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_M_quadrado;Tipo Agregado
11;Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;50.0;Apartamento
13;Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;53.5;Apartamento
16;Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;25.37;Apartamento
17;Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;17.27;Apartamento
20;Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;25.64;Apartamento
21;Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
22;Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;15.62;Apartamento
23;Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;24.0;Apartamento
25;Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;32.89;Apartamento
26;Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;26.46;Apartamento
27;Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;30.56;Apartamento
29;Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;35.45;Apartamento
32;Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;25.71;Apartamento
33;Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;20.49;Apartamento
34;Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;40.91;Apartamento
37;Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;32.64;Apartamento
41;Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;57.14;Apartamento
42;Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;36.84;Apartamento
45;Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;42.48;Apartamento
47;Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;36.78;Apartamento
50;Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;55.09;Apartamento
54;Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;53.33;Apartamento
55;Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;56.43;Apartamento
62;Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;43.75;Apartamento
63;Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;52.92;Apartamento
64;Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;25.0;Apartamento
67;Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;30.68;Apartamento
71;Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;29.41;Apartamento
76;Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;58.33;Apartamento
77;Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;35.26;Apartamento
82;Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;24.29;Apartamento
84;Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;22.5;Apartamento
86;Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;15.7;Apartamento
88;Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;55.17;Apartamento
91;Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;33.73;Apartamento
92;Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;53.75;Apartamento
94;Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;51.02;Apartamento
95;Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;52.24;Apartamento
97;Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;34.09;Apartamento
101;Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;45.88;Apartamento
108;Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;36.67;Apartamento
111;Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;23.44;Apartamento
113;Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;31.0;Apartamento
114;Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;25.86;Apartamento
